titulo,Ano lançamento,Descrição,Nota,Diretor,Votos,Genero
0,O Menu,2022,"
A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.3,Mark Mylod ,"145,294","
Comedy, Horror, Thriller            "
1,The White Lotus,2021,"
Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week.",7.9,,"125,563","
Comedy, Drama            "
2,Wandinha,2022,"
Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.",8.2,,"231,550","
Comedy, Crime, Fantasy            "
3,Ginny e Georgia,2021,"
Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.",7.5,,"56,433","
Comedy, Drama            "
4,Glass Onion: Um Mistério Knives Out,2022,"
Famed Southern detective Benoit Blanc travels to Greece for his latest case.",7.2,Rian Johnson ,"278,066","
Comedy, Crime, Drama            "
5,Os Banshees de Inisherin,2022,"
Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",7.8,Martin McDonagh ,"85,931","
Comedy, Drama            "
6,Gato de Botas 2: O Último Pedido,2022,"
Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",7.8,"Joel Crawford, Januel Mercado ","35,313","
Animation, Adventure, Comedy            "
7,Tudo em Todo Lugar ao Mesmo Tempo,2022,"
A middle-aged Chinese immigrant is swept up in an insane adventure in which she alone can save existence by exploring other universes connecting with the lives she could have led.",8.0,"Dan Kwan, Daniel Scheinert ","287,667","
Action, Adventure, Comedy            "
8,Babilônia,2022,"
A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",7.4,Damien Chazelle ,"12,110","
Comedy, Drama, History            "
9,O Pior Vizinho do Mundo,2022,"
Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around.",7.5,Marc Forster ,"7,235","
Comedy, Drama            "
10,Homem-Formiga e a Vespa: Quantumania,2023,"
Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",,Peyton Reed ,,"
Action, Adventure, Comedy            "
11,Entre Facas e Segredos,2019,"
A detective investigates the death of the patriarch of an eccentric, combative family.",7.9,Rian Johnson ,"684,436","
Comedy, Crime, Drama            "
12,Velma,2023,"
The origin of the sleuth and member of the Mystery Inc. gang, Velma.",1.3,,"26,908","
Animation, Adventure, Comedy            "
